timestamp,type,result,pnl_pct,pnl_pct_10x,risk_pct,fvg_atr_pct
2023-04-17 09:00:00,bearish,loss,-0.01579999999999992,-0.1579999999999992,0.5603400405867921,150.39796243234423
2023-04-18 11:00:00,bullish,loss,-0.01580000000000005,-0.1580000000000005,0.18076988299134908,140.99249374478748
2023-04-20 11:00:00,bearish,loss,-0.01579999999999987,-0.1579999999999987,0.6795053003533543,395.2868916674498
2023-04-26 02:00:00,bullish,win,0.01519280251911836,0.1519280251911836,0.799640125955918,234.93850323118613
2023-04-26 14:00:00,bullish,loss,-0.015799999999999988,-0.15799999999999986,0.7800475724080034,155.80204149316427
2023-05-04 02:00:00,bullish,win,0.019797222222222122,0.19797222222222122,1.029861111111106,88.84501480750247
2023-05-17 15:00:00,bullish,loss,-0.015800000000000033,-0.15800000000000033,1.4979554831905537,165.8717807118827
2023-05-23 11:00:00,bearish,win,0.004606203840472727,0.046062038404727265,0.2703101920236364,642.2115895800121
2023-05-28 12:00:00,bullish,loss,-0.01580000000000001,-0.15800000000000008,0.5261620476868534,663.5949367088617
2023-06-01 06:00:00,bearish,win,0.00896766695358859,0.08967666953588589,0.4883833476794295,151.0522533620783
2023-06-05 06:00:00,bearish,win,0.002253760908916982,0.02253760908916982,0.1526880454458491,155.95917661304225
2023-06-05 09:00:00,bearish,loss,-0.01579999999999992,-0.1579999999999992,0.38314460738815936,140.45397392627765
2023-06-05 21:00:00,bearish,win,0.011586854460094005,0.11586854460094005,0.6193427230047003,648.3417986256349
2023-06-06 20:00:00,bullish,win,0.015512858713856435,0.15512858713856434,0.8156429356928218,559.5461095100826
2023-06-07 18:00:00,bearish,win,0.03530980296838694,0.3530980296838694,1.805490148419347,90.25711820534886
2023-07-24 12:00:00,bearish,win,0.006244605714632591,0.06244605714632591,0.35223028573162957,369.84516817939084
2023-09-04 10:00:00,bearish,win,0.0037978254989992966,0.037978254989992966,0.22989127494996484,156.9874476987443
2023-09-25 01:00:00,bearish,win,0.007508538284810309,0.0750853828481031,0.4154269142405155,858.4384858044214
2023-11-09 07:00:00,bullish,win,0.028151590594744286,0.28151590594744286,1.4475795297372143,202.51260099794757
2023-11-13 09:00:00,bearish,win,0.0019212277317354428,0.019212277317354427,0.13606138658677214,84.82798608426853
2023-11-20 04:00:00,bullish,win,0.005726368634563528,0.057263686345635285,0.32631843172817643,138.6364759974319
2023-11-28 22:00:00,bullish,win,0.004145260347129428,0.04145260347129428,0.2472630173564714,200.0808952406635
2023-12-24 12:00:00,bullish,win,0.0178794803022176,0.178794803022176,0.93397401511088,312.4626887726444
2024-01-26 20:00:00,bullish,win,0.0227140997830804,0.227140997830804,1.1757049891540199,87.67705028602734
2024-01-27 20:00:00,bullish,win,0.0026020766543853077,0.026020766543853078,0.17010383271926538,71.24451627799397
2024-01-29 06:00:00,bullish,win,0.006090718259688514,0.06090718259688514,0.3445359129844257,449.98754187314967
2024-01-31 04:00:00,bearish,win,0.0025274883675978532,0.02527488367597853,0.16637441837989267,144.6996466431084
2024-01-31 15:00:00,bearish,win,0.004129436376258363,0.041294363762583636,0.2464718188129182,103.6731324803981
2024-02-05 17:00:00,bearish,loss,-0.01579999999999985,-0.15799999999999847,0.5785354946897742,72.43393602225409
2024-02-11 20:00:00,bullish,win,0.016365504762808625,0.16365504762808625,0.8582752381404312,336.42414505393253
2024-02-28 19:00:00,bullish,win,0.0051541190488177836,0.05154119048817783,0.2977059524408892,202.11403122938268
2024-02-29 01:00:00,bullish,loss,-0.01824167962674961,-0.1824167962674961,1.744167962674961,197.53995805945627
2024-03-10 18:00:00,bullish,win,0.01652862093891697,0.16528620938916969,0.8664310469458484,222.46828481337496
2024-03-19 10:00:00,bearish,win,0.014878092123816073,0.14878092123816072,0.7839046061908037,73.58387799564244
2024-03-31 13:00:00,bearish,win,0.010349155969818523,0.10349155969818523,0.5574577984909261,106.02023704094437
2024-04-08 12:00:00,bullish,win,0.002864541961018771,0.02864541961018771,0.18322709805093854,129.83879293815775
2024-04-09 18:00:00,bearish,loss,-0.01579999999999994,-0.1579999999999994,0.8448054286149458,142.00817833382538
2024-04-22 22:00:00,bullish,loss,-0.01580000000000001,-0.15800000000000008,0.5085102860840557,60.02105203265815
2024-05-10 06:00:00,bearish,loss,-0.015799999999999897,-0.15799999999999897,0.834825045391813,342.08909999181054
2024-05-12 04:00:00,bullish,win,0.004244994348101481,0.04244994348101481,0.25224971740507407,83.99183223673494
2024-05-17 00:00:00,bullish,win,0.013121980987576456,0.13121980987576456,0.6960990493788228,75.23097092619567
2024-05-20 22:00:00,bullish,win,0.0026526556825704367,0.026526556825704366,0.17263278412852184,497.2694557672289
2024-05-26 16:00:00,bullish,win,0.0003984428864366754,0.003984428864366754,0.05992214432183377,169.38830503906945
2024-06-03 22:00:00,bullish,win,0.015352168023612113,0.15352168023612114,0.8076084011806057,349.70847660338126
2024-06-24 14:00:00,bearish,win,0.01803931532030368,0.18039315320303678,0.9419657660151839,377.3590670672719
2024-06-25 06:00:00,bullish,win,0.006761072756240139,0.06761072756240138,0.37805363781200696,175.32780917947514
2024-06-29 00:00:00,bullish,loss,-0.01673624194023505,-0.16736241940235047,1.593624194023505,97.79219455860937
2024-07-13 03:00:00,bullish,win,0.01323513583467753,0.1323513583467753,0.7017567917338765,80.24232754107123
2024-07-18 10:00:00,bearish,win,0.010357140632300173,0.10357140632300173,0.5578570316150087,77.42118337473448
2024-07-25 00:00:00,bearish,loss,-0.015799999999999998,-0.15799999999999997,0.9273692191053917,388.7808941960552
2024-07-31 13:00:00,bearish,win,0.028139740655987795,0.28139740655987794,1.4469870327993897,96.84965588548809
2024-08-01 18:00:00,bearish,loss,-0.015799999999999953,-0.15799999999999953,0.895924082140637,264.3724253581712
2024-08-09 16:00:00,bearish,win,0.015345540991184336,0.15345540991184337,0.8072770495592168,213.68887377558673
2024-08-15 13:00:00,bullish,loss,-0.01580000000000003,-0.1580000000000003,0.5049298898024632,128.13213730098252
2024-08-18 19:00:00,bearish,loss,-0.015799999999999922,-0.15799999999999922,0.47851457819702736,334.08656285368664
2024-08-19 21:00:00,bullish,win,0.008537454661432593,0.08537454661432592,0.46687273307162963,351.0872492862403
2024-08-23 22:00:00,bullish,loss,-0.015800000000000022,-0.15800000000000022,0.9783718198101011,329.64132259405864
2024-09-02 15:00:00,bullish,win,0.007651147967795129,0.0765114796779513,0.4225573983897565,76.55664776114766
2024-09-12 10:00:00,bullish,win,0.00553717021632366,0.0553717021632366,0.316858510816183,202.14337872084602
2024-09-16 02:00:00,bearish,win,0.003708223488648171,0.03708223488648171,0.22541117443240855,191.1978037855791
2024-10-06 02:00:00,bullish,win,0.009715064014200844,0.09715064014200844,0.5257532007100423,151.40085720730647
