timestamp,type,result,entry_price,stop_loss,take_profit,exit_price,pnl_pct,pnl_pct_10x,risk_pct,rr_ratio
2023-04-17 18:00:00,bearish,loss,29750.0,29880.6,29488.800000000003,29880.6,-0.005189915966386506,-0.05189915966386506,0.43899159663865056,2
2023-04-22 21:00:00,bullish,win,27347.5,27241.9,27558.699999999997,27558.699999999997,0.006922826583782689,0.06922826583782689,0.38614132918913446,2
2023-04-26 15:00:00,bullish,loss,28394.1,28365.0,28452.299999999996,28365.0,-0.0018248607985461257,-0.018248607985461258,0.10248607985461256,2
2023-04-26 19:00:00,bullish,loss,29146.4,28940.7,29557.800000000003,28940.7,-0.007857475365739875,-0.07857475365739874,0.7057475365739876,2
2023-04-27 02:00:00,bearish,loss,29700.1,29732.7,29634.899999999994,29732.7,-0.0018976394018876091,-0.018976394018876092,0.10976394018876093,2
2023-05-01 08:00:00,bearish,win,29198.2,29303.3,28988.000000000004,28988.000000000004,0.00639907391551524,0.0639907391551524,0.35995369577576203,2
2023-05-02 21:00:00,bullish,win,28129.7,27994.9,28399.3,28399.3,0.008784176155451304,0.08784176155451304,0.47920880777256525,2
2023-05-12 12:00:00,bearish,win,26500.0,26644.6,26210.800000000003,26210.800000000003,0.010113207547169701,0.101132075471697,0.545660377358485,2
2023-05-15 08:00:00,bullish,win,26919.6,26787.8,27183.199999999997,27183.199999999997,0.008992121725434203,0.08992121725434203,0.48960608627171015,2
2023-05-24 10:00:00,bearish,win,27096.9,27153.2,26984.300000000003,26984.300000000003,0.0033554568972833996,0.033554568972833994,0.20777284486416997,2
2023-06-01 09:00:00,bearish,loss,27045.7,27065.5,27006.100000000002,27065.5,-0.0015320941961198737,-0.015320941961198736,0.07320941961198738,2
2023-06-05 22:00:00,bearish,win,26688.0,26789.9,26484.199999999997,26484.199999999997,0.006836390887290276,0.06836390887290276,0.3818195443645138,2
2023-06-07 16:00:00,bearish,loss,26745.5,26810.1,26616.300000000003,26810.1,-0.00321535959320254,-0.0321535959320254,0.241535959320254,2
2023-06-07 21:00:00,bearish,win,26652.1,26806.2,26343.899999999994,26343.899999999994,0.010763816734891598,0.10763816734891599,0.5781908367445799,2
2023-06-08 21:00:00,bullish,win,26465.0,26389.9,26615.199999999997,26615.199999999997,0.004875420366521711,0.048754203665217107,0.28377101832608553,2
2023-06-10 11:00:00,bearish,win,26250.0,26312.6,26124.800000000003,26124.800000000003,0.003969523809523698,0.03969523809523698,0.23847619047618493,2
2023-06-19 03:00:00,bearish,loss,26585.8,26641.6,26474.2,26641.6,-0.002898864807528804,-0.02898864807528804,0.2098864807528804,2
2023-06-22 21:00:00,bearish,loss,30086.3,30226.8,29805.3,30226.8,-0.0054698995888494105,-0.054698995888494105,0.466989958884941,2
2023-06-27 17:00:00,bullish,win,30396.8,30370.5,30449.399999999998,30449.399999999998,0.0009304453100325872,0.009304453100325872,0.08652226550162936,2
2023-06-30 20:00:00,bearish,loss,30880.0,31000.2,30639.6,31000.2,-0.004692487046632148,-0.04692487046632148,0.38924870466321476,2
2023-07-11 01:00:00,bullish,loss,30354.7,30264.4,30535.3,30264.4,-0.003774827621422688,-0.037748276214226884,0.2974827621422688,2
2023-07-13 22:00:00,bullish,win,30681.9,30559.7,30926.300000000003,30926.300000000003,0.007165608388007309,0.0716560838800731,0.39828041940036546,2
2023-07-20 21:00:00,bearish,loss,30156.8,30215.9,30038.599999999995,30215.9,-0.002759757003395658,-0.027597570033956582,0.19597570033956582,2
2023-08-09 23:00:00,bearish,win,29663.0,29749.4,29490.199999999997,29490.199999999997,0.0050254390992146075,0.05025439099214608,0.2912719549607304,2
2023-08-29 23:00:00,bullish,loss,27547.8,27411.4,27820.599999999995,27411.4,-0.005751393577708486,-0.05751393577708486,0.49513935777084855,2
2023-09-15 18:00:00,bearish,loss,26585.3,26626.0,26503.899999999998,26626.0,-0.0023309212233828744,-0.023309212233828744,0.15309212233828742,2
2023-09-18 09:00:00,bullish,loss,26476.7,26449.7,26530.7,26449.7,-0.0018197645476966538,-0.018197645476966538,0.1019764547696654,2
2023-10-05 20:00:00,bullish,loss,27755.6,27710.0,27846.799999999996,27710.0,-0.002442911700701788,-0.02442911700701788,0.1642911700701788,2
2023-10-20 15:00:00,bullish,win,29405.4,29228.5,29759.200000000004,29759.200000000004,0.011231803682316951,0.11231803682316951,0.6015901841158476,2
2023-10-22 00:00:00,bullish,win,29943.9,29851.5,30128.700000000004,30128.700000000004,0.005371540781261054,0.05371540781261054,0.3085770390630527,2
2023-11-02 03:00:00,bullish,win,34730.5,34564.3,35062.899999999994,35062.899999999994,0.008770838312146216,0.08770838312146216,0.47854191560731085,2
2023-11-09 01:00:00,bullish,win,35453.8,35322.9,35715.600000000006,35715.600000000006,0.006584257822856869,0.06584257822856869,0.36921289114284345,2
2023-11-09 22:00:00,bearish,win,37171.2,37922.4,35668.79999999999,35668.79999999999,0.0396183884297523,0.396183884297523,2.020919421487615,2
2023-11-14 22:00:00,bearish,loss,36482.7,36616.1,36215.899999999994,36616.1,-0.0044565276144584,-0.044565276144584,0.36565276144584,2
2023-11-18 00:00:00,bullish,win,36228.3,35995.1,36694.70000000001,36694.70000000001,0.012073913487522426,0.12073913487522425,0.6436956743761213,2
2023-11-20 06:00:00,bullish,win,37048.9,36997.8,37151.1,37151.1,0.001958516447181889,0.01958516447181889,0.13792582235909445,2
2023-12-05 21:00:00,bullish,loss,42100.0,41826.3,42647.399999999994,41826.3,-0.007301187648455988,-0.07301187648455988,0.6501187648455988,2
2023-12-13 22:00:00,bullish,win,41517.7,41459.6,41633.899999999994,41633.899999999994,0.0019988062922560042,0.019988062922560043,0.1399403146128002,2
2023-12-21 21:00:00,bearish,loss,43968.5,44179.1,43547.3,44179.1,-0.0055897926924957314,-0.05589792692495731,0.4789792692495731,2
