type,index,timestamp,k1_open,k1_high,k1_low,k1_close,k1_body,k1_range,k1_volume,k2_open,k2_high,k2_low,k2_close,k2_body,k2_volume,k3_high,k3_low,k2_body_k1_body,fvg_size_k1_range,vol_change_1_2,fvg_size,new_high_24h,max_gain_24h,new_high_48h,max_gain_48h,new_high_72h,max_gain_72h,new_high_96h,max_gain_96h,new_high_120h,max_gain_120h,new_high_168h,max_gain_168h,pass_all,pass_cond1,pass_cond2,pass_cond3
bullish,30,2024-01-02 06:00:00,43619.22,43661.1,43361.6,43529.93,89.29000000000087,299.5,1024.36372,43529.94,44184.1,43529.93,44179.55,649.6100000000006,3475.97051,45200.0,44148.34,7.275282786426187,1.6268447412353855,2.3932971679239086,487.23999999999796,True,5.08125081594371,True,5.08125081594371,True,5.08125081594371,True,5.08125081594371,True,5.08125081594371,True,8.217589570578845,True,True,True,True
bullish,70,2024-01-03 22:00:00,42529.4,42532.0,42050.0,42179.99,349.4100000000035,482.0,4566.2886,42180.0,43009.02,42175.14,43000.01,820.010000000002,5175.34831,43567.92,42773.34,2.3468418190664084,0.5007053941908641,0.1333817818698539,241.3399999999965,True,4.227381736104576,True,5.1668861092824265,True,5.1668861092824265,True,5.1668861092824265,True,6.585629643562495,True,12.790369604062823,False,True,True,False
bullish,93,2024-01-04 21:00:00,43378.11,43484.84,43167.27,43346.68,31.43000000000029,317.5699999999997,1658.84054,43346.67,43753.15,43250.0,43676.07,329.40000000000146,2649.8067,44329.99,43608.0,10.48043270760415,0.3878200081871827,0.5973848215694079,123.16000000000349,True,2.8624688512134466,True,2.8624688512134466,True,2.8624688512134466,True,3.9442711528891534,True,8.656235138498847,True,12.612763436636785,False,True,False,False
bullish,192,2024-01-09 00:00:00,44963.04,45171.42,44793.97,44940.3,22.739999999997963,377.4499999999971,2531.38293,44940.31,45668.88,44903.86,45648.0,707.6900000000023,4294.58934,46995.0,45648.0,31.120932277927253,1.2626308120280976,0.6965387927301857,476.58000000000175,True,4.599301948001634,True,6.199893649568692,True,8.408104062258847,True,8.408104062258847,True,8.408104062258847,True,8.408104062258847,False,False,True,False
bullish,240,2024-01-11 00:00:00,45546.39,45708.31,45173.97,45311.1,235.29000000000087,534.3399999999965,3383.80525,45311.09,46449.0,45227.01,46401.89,1090.800000000003,5565.30304,46633.86,45840.0,4.635981129669764,0.2464535688887285,0.6446877490954894,131.69000000000233,True,7.134742019558383,True,7.134742019558383,True,7.134742019558383,True,7.134742019558383,True,7.134742019558383,True,7.134742019558383,False,True,False,False
bullish,257,2024-01-11 17:00:00,46277.0,46354.0,46211.94,46220.12,56.87999999999738,142.05999999999767,1341.13559,46220.12,46860.0,46210.0,46859.91,639.7900000000009,2559.25355,47150.0,46705.97,11.248066104079296,2.477615092214606,0.9082735325814445,351.97000000000116,True,5.6424041075203935,True,5.6424041075203935,True,5.6424041075203935,True,5.6424041075203935,True,5.6424041075203935,True,5.6424041075203935,True,True,True,True
bearish,262,2024-01-11 22:00:00,47325.21,48969.48,47215.0,48571.22,1246.010000000002,1754.4800000000032,15868.93224,48571.21,48657.98,46463.19,46783.78,1787.4300000000003,12867.70365,47022.07,45788.0,1.4345229974077234,0.10996420591856274,-0.18912605741897104,192.9300000000003,True,6.1030604680715825,True,12.104204172402838,True,12.104204172402838,True,12.104204172402838,True,12.104204172402838,True,12.104204172402838,False,True,False,False
bearish,304,2024-01-13 16:00:00,43102.97,43254.96,43063.72,43170.01,67.04000000000087,191.23999999999796,1167.90273,43170.01,43193.46,42819.31,42923.21,246.8000000000029,1671.71121,42923.21,42627.63,3.681384248210019,0.7347312277766342,0.4313788015548178,140.51000000000204,True,1.2974262325688566,True,3.1248345475030916,True,3.1248345475030916,True,3.1248345475030916,True,3.1248345475030916,True,6.464188416606835,False,True,True,False
bearish,357,2024-01-15 21:00:00,42663.79,42958.03,42614.12,42852.54,188.75,343.9099999999962,1610.94481,42852.55,42868.53,42172.14,42199.0,653.5500000000029,3628.83988,42473.99,42163.32,3.462516556291406,0.407461254397971,1.2526158919125232,140.13000000000466,True,1.323786575904894,True,1.323786575904894,True,1.323786575904894,True,4.530986442991205,True,5.477339435848968,True,5.477339435848968,False,True,False,True
bearish,425,2024-01-18 17:00:00,42742.0,42871.85,42709.61,42743.84,1.8399999999965075,162.23999999999796,958.8749,42743.85,42779.27,42388.0,42447.66,296.18999999999505,1548.48202,42551.1,42387.68,160.97282608725936,0.9770093688363167,0.6148947271432382,158.51000000000204,True,4.744435737062459,True,5.688672877134679,True,5.688672877134679,True,5.688672877134679,True,9.024877539270431,True,9.727576533712204,False,False,True,False
