timestamp,type,result,entry_price,stop_loss,take_profit,exit_price,pnl_pct,pnl_pct_10x,risk_pct,fvg_atr_pct
2023-04-17 18:00:00,bearish,loss,29750.0,29880.6,29488.800000000003,30196.249999999996,-0.015799999999999877,-0.15799999999999875,0.43899159663865056,120.19858897308558
2023-04-19 15:00:00,bearish,win,29960.0,30064.8,29750.4,29750.4,0.006195994659546012,0.06195994659546012,0.3497997329773006,325.14532270629826
2023-04-22 21:00:00,bullish,win,27347.5,27241.9,27558.699999999997,27558.699999999997,0.006922826583782689,0.06922826583782689,0.38614132918913446,111.93090684762366
2023-04-26 15:00:00,bullish,loss,28394.1,28365.0,28452.299999999996,27968.188499999997,-0.01580000000000007,-0.1580000000000007,0.10248607985461256,220.8764940239048
2023-04-26 19:00:00,bullish,loss,29146.4,28940.7,29557.800000000003,28709.204,-0.015799999999999995,-0.15799999999999995,0.7057475365739876,262.8518639278338
2023-04-27 02:00:00,bearish,win,29700.1,29732.7,29634.899999999994,29634.899999999994,0.0013952788037752185,0.013952788037752184,0.10976394018876093,290.2720620025937
2023-05-01 08:00:00,bearish,win,29198.2,29303.3,28988.000000000004,28988.000000000004,0.00639907391551524,0.0639907391551524,0.35995369577576203,247.54845762124447
2023-05-02 21:00:00,bullish,win,28129.7,27994.9,28399.3,28399.3,0.008784176155451304,0.08784176155451304,0.47920880777256525,210.98918023949653
2023-05-12 12:00:00,bearish,win,26500.0,26644.6,26210.800000000003,26210.800000000003,0.010113207547169701,0.101132075471697,0.545660377358485,84.17008051984698
2023-05-15 08:00:00,bullish,win,26919.6,26787.8,27183.199999999997,27183.199999999997,0.008992121725434203,0.08992121725434203,0.48960608627171015,137.9053135009439
2023-05-24 10:00:00,bearish,win,27096.9,27153.2,26984.300000000003,26984.300000000003,0.0033554568972833996,0.033554568972833994,0.20777284486416997,253.35465150707867
2023-06-01 09:00:00,bearish,win,27045.7,27065.5,27006.100000000002,27006.100000000002,0.0006641883922397475,0.006641883922397476,0.07320941961198738,150.51018428710066
2023-06-05 22:00:00,bearish,win,26688.0,26789.9,26484.199999999997,26484.199999999997,0.006836390887290276,0.06836390887290276,0.3818195443645138,523.0704733157261
2023-06-07 16:00:00,bearish,win,26745.5,26810.1,26616.300000000003,26616.300000000003,0.00403071918640508,0.0403071918640508,0.241535959320254,83.57441809237011
2023-06-07 21:00:00,bearish,win,26652.1,26806.2,26343.899999999994,26343.899999999994,0.010763816734891598,0.10763816734891599,0.5781908367445799,141.78681689423445
2023-06-08 21:00:00,bullish,win,26465.0,26389.9,26615.199999999997,26615.199999999997,0.004875420366521711,0.048754203665217107,0.28377101832608553,164.63753966316946
2023-06-10 11:00:00,bearish,win,26250.0,26312.6,26124.800000000003,26124.800000000003,0.003969523809523698,0.03969523809523698,0.23847619047618493,517.664566694779
2023-06-19 03:00:00,bearish,win,26585.8,26641.6,26474.2,26474.2,0.003397729615057608,0.03397729615057608,0.2098864807528804,165.88151320485252
2023-06-22 21:00:00,bearish,win,30086.3,30226.8,29805.3,29805.3,0.00853979917769882,0.0853979917769882,0.466989958884941,96.57312242014561
2023-06-27 17:00:00,bullish,win,30396.8,30370.5,30449.399999999998,30449.399999999998,0.0009304453100325872,0.009304453100325872,0.08652226550162936,242.52263837539374
2023-06-30 20:00:00,bearish,loss,30880.0,31000.2,30639.6,31343.199999999997,-0.015799999999999904,-0.15799999999999903,0.38924870466321476,242.4403526970954
2023-07-06 18:00:00,bearish,win,31058.2,31222.2,30730.2,30730.2,0.009760818077029576,0.09760818077029576,0.5280409038514788,197.98235311831928
2023-07-11 01:00:00,bullish,win,30354.7,30264.4,30535.3,30535.3,0.005149655242845376,0.05149655242845376,0.2974827621422688,355.75508437905484
2023-07-13 22:00:00,bullish,win,30681.9,30559.7,30926.300000000003,30926.300000000003,0.007165608388007309,0.0716560838800731,0.39828041940036546,85.1628247347237
2023-07-20 21:00:00,bearish,win,30156.8,30215.9,30038.599999999995,30038.599999999995,0.0031195140067913165,0.031195140067913164,0.19597570033956582,230.58823529411688
2023-08-09 23:00:00,bearish,win,29663.0,29749.4,29490.199999999997,29490.199999999997,0.0050254390992146075,0.05025439099214608,0.2912719549607304,118.63038120706713
2023-08-29 23:00:00,bullish,loss,27547.8,27411.4,27820.599999999995,27134.583,-0.01580000000000002,-0.1580000000000002,0.49513935777084855,132.46205973633957
2023-09-15 18:00:00,bearish,win,26585.3,26626.0,26503.899999999998,26503.899999999998,0.0022618424467657485,0.022618424467657487,0.15309212233828742,230.36597428288758
2023-09-18 09:00:00,bullish,win,26476.7,26449.7,26530.7,26530.7,0.001239529095393308,0.012395290953933078,0.1019764547696654,185.75342465753477
2023-10-05 20:00:00,bullish,win,27755.6,27710.0,27846.799999999996,27846.799999999996,0.002485823401403576,0.02485823401403576,0.1642911700701788,167.86971830985848
2023-10-20 15:00:00,bullish,win,29405.4,29228.5,29759.200000000004,29759.200000000004,0.011231803682316951,0.11231803682316951,0.6015901841158476,160.84908508967936
2023-10-22 00:00:00,bullish,win,29943.9,29851.5,30128.700000000004,30128.700000000004,0.005371540781261054,0.05371540781261054,0.3085770390630527,176.75096787168704
2023-11-02 03:00:00,bullish,win,34730.5,34564.3,35062.899999999994,35062.899999999994,0.008770838312146216,0.08770838312146216,0.47854191560731085,198.09476163675535
2023-11-09 01:00:00,bullish,win,35453.8,35322.9,35715.600000000006,35715.600000000006,0.006584257822856869,0.06584257822856869,0.36921289114284345,98.34205933682276
2023-11-14 22:00:00,bearish,loss,36482.7,36616.1,36215.899999999994,37029.9405,-0.015799999999999998,-0.15799999999999997,0.36565276144584,83.27217785451887
2023-11-18 00:00:00,bullish,win,36228.3,35995.1,36694.70000000001,36694.70000000001,0.012073913487522426,0.12073913487522425,0.6436956743761213,79.88928255092925
2023-11-20 06:00:00,bullish,win,37048.9,36997.8,37151.1,37151.1,0.001958516447181889,0.01958516447181889,0.13792582235909445,141.84505218252528
2023-12-05 21:00:00,bullish,loss,42100.0,41826.3,42647.399999999994,41468.5,-0.015799999999999998,-0.15799999999999997,0.6501187648455988,74.44338118022199
2023-12-13 22:00:00,bullish,win,41517.7,41459.6,41633.899999999994,41633.899999999994,0.0019988062922560042,0.019988062922560043,0.1399403146128002,124.24120934839647
2023-12-25 19:00:00,bullish,win,43279.5,43200.3,43437.899999999994,43437.899999999994,0.00285993137628656,0.028599313762865602,0.182996568814328,199.6914897108529
2023-12-29 22:00:00,bearish,win,42800.0,43065.6,42268.8,42268.8,0.01161121495327096,0.1161121495327096,0.6205607476635481,258.88876000463983
