type,index,timestamp,k1_open,k1_high,k1_low,k1_close,k1_body,k1_range,k1_upper_wick,k1_lower_wick,k1_volume,k2_open,k2_high,k2_low,k2_close,k2_body,k2_range,k2_upper_wick,k2_lower_wick,k2_volume,k3_open,k3_high,k3_low,k3_close,k3_body,k3_range,k3_upper_wick,k3_lower_wick,k3_volume,fvg_high,fvg_low,fvg_size,close_slope,low_slope,high_slope,vol_change_1_2,vol_change_2_3,k2_body_k1_body,k2_range_k1_range,fvg_size_k1_range,new_high_24h,new_low_24h,max_high_24h,min_low_24h,max_gain_24h,max_loss_24h,new_high_48h,new_low_48h,max_high_48h,min_low_48h,max_gain_48h,max_loss_48h,new_high_72h,new_low_72h,max_high_72h,min_low_72h,max_gain_72h,max_loss_72h,new_high_96h,new_low_96h,max_high_96h,min_low_96h,max_gain_96h,max_loss_96h,new_high_120h,new_low_120h,max_high_120h,min_low_120h,max_gain_120h,max_loss_120h,new_high_168h,new_low_168h,max_high_168h,min_low_168h,max_gain_168h,max_loss_168h
bullish,29,2025-04-16 21:00:00,83757.73,84204.54,83512.2,83736.37,21.360000000000582,692.3399999999965,446.8099999999977,224.16999999999825,1092.69367,83736.36,84849.06,83714.31,84605.31,868.9499999999971,1134.75,243.75,22.05000000000291,1314.8165,84605.3,85270.27,84502.02,84846.58,241.27999999999884,768.25,423.6900000000023,103.27999999999884,1518.8446,84502.02,84204.54,297.4800000000105,555.1050000000077,494.9100000000011,,0.2032800556078995,0.15517610252077002,40.68117977527965,1.6390068463471787,0.429673281913528,True,True,85500.0,83275.0,1.5384681158521933,1.4520599625902482,True,True,85500.0,83275.0,1.5384681158521933,1.4520599625902482,True,True,85500.0,83275.0,1.5384681158521933,1.4520599625902482,True,True,85677.99,83275.0,1.7498462671965334,1.4520599625902482,True,True,88465.99,83275.0,5.0608316368690005,1.4520599625902482,True,True,94696.05,83275.0,12.459553843533865,1.4520599625902482
bearish,32,2025-04-17 00:00:00,84846.58,85226.42,84701.23,85048.55,201.97000000000116,525.1900000000023,177.86999999999534,145.35000000000582,782.33383,85048.54,85500.0,83275.0,83281.21,1767.3299999999872,2225.0,451.4600000000064,6.210000000006403,2664.59303,83281.21,84472.31,83276.0,84029.97,748.7599999999948,1196.3099999999977,442.3399999999965,5.210000000006403,2051.7773,84701.23,84472.31,228.91999999999825,-509.28999999997814,,-377.055000000004,2.4059539902550293,-0.22998473804459355,8.750457988810105,4.236562006131096,0.4358803480645047,False,False,85208.0,83736.26,0.8713506236540743,0.5983029998501841,True,False,85470.01,83736.26,0.8713506236540743,0.9076373507208796,True,False,85677.99,83736.26,0.8713506236540743,1.1531827814070816,True,False,85677.99,83736.26,0.8713506236540743,1.1531827814070816,True,False,88465.99,83736.26,0.8713506236540743,4.444752455188678,True,False,94696.05,83736.26,0.8713506236540743,11.800088381243116
bullish,134,2025-04-21 06:00:00,85009.27,85031.19,84669.73,84835.28,173.99000000000524,361.4600000000064,21.919999999998254,165.5500000000029,272.57238,84835.28,85298.0,84835.28,85179.24,343.9600000000064,462.72000000000116,118.75999999999476,0.0,422.92944,85179.24,87010.0,85144.76,86625.68,1446.4399999999878,1865.2400000000052,384.320000000007,34.48000000001048,3732.36432,85144.76,85031.19,113.56999999999243,895.2000000000112,237.51500000001002,,0.5516225084874703,7.8250284019008,1.9768952238634176,1.2801416477618353,0.31419797487962825,True,False,88465.99,86389.78,4.039458932657538,-1.462239132507983,True,False,93888.0,86389.78,10.415954428016352,-1.462239132507983,True,False,94696.05,86389.78,11.36625278324342,-1.462239132507983,True,False,94696.05,86389.78,11.36625278324342,-1.462239132507983,True,False,95758.04,86389.78,12.615194495102317,-1.462239132507983,True,False,95758.04,86389.78,12.615194495102317,-1.462239132507983
bullish,149,2025-04-21 21:00:00,87038.71,87575.21,86779.97,87028.09,10.620000000009895,795.2400000000052,536.5,248.11999999999534,1660.3259,87028.08,88465.99,86943.39,88208.37,1180.2899999999936,1522.6000000000058,257.6200000000099,84.69000000000233,3876.26378,88208.37,88329.49,87862.93,88044.8,163.56999999999243,466.5600000000122,121.1200000000099,181.8700000000099,1920.55832,87862.93,87575.21,287.7199999999866,508.3550000000155,541.4800000000138,,1.3346403136878129,-0.5045336362532067,111.13841807899189,1.9146421206176698,0.3618027262209958,True,True,90942.15,86389.78,3.8446268070610254,1.676645657047852,True,True,94696.05,86389.78,8.1311138163414,1.676645657047852,True,True,94696.05,86389.78,8.1311138163414,1.676645657047852,True,True,95758.04,86389.78,9.343774339793175,1.676645657047852,True,True,95758.04,86389.78,9.343774339793175,1.676645657047852,True,True,95758.04,86389.78,9.343774339793175,1.676645657047852
bullish,180,2025-04-23 04:00:00,91414.78,91509.75,91065.83,91111.72,303.0599999999977,443.91999999999825,94.97000000000116,45.88999999999942,806.20698,91111.72,93888.0,91060.0,93039.99,1928.270000000004,2828.0,848.0099999999948,51.720000000001164,6118.16636,93039.99,93354.93,92537.93,92786.19,253.8000000000029,817.0,314.9399999999878,248.2600000000093,1634.66903,92537.93,91509.75,1028.179999999993,837.2350000000034,736.0500000000018,,6.58882831800836,-0.7328171655012009,6.3626674585891205,6.370517210308189,2.3161380428906044,True,False,94696.05,91935.41,3.4819240572725887,0.6511059843244706,True,False,94696.05,91660.01,3.4819240572725887,0.9487136788125673,True,False,95758.04,91660.01,4.642445203926351,0.9487136788125673,True,False,95758.04,91660.01,4.642445203926351,0.9487136788125673,True,False,95758.04,91660.01,4.642445203926351,0.9487136788125673,True,False,95758.04,91660.01,4.642445203926351,0.9487136788125673
bullish,242,2025-04-25 18:00:00,93816.42,93976.42,93581.39,93634.02,182.39999999999418,395.02999999999884,160.0,52.63000000000466,617.16074,93634.02,94660.0,93634.02,94635.67,1001.6499999999942,1025.979999999996,24.330000000001746,0.0,1638.14538,94635.67,94990.0,94270.81,94417.29,218.38000000000466,719.1900000000023,354.33000000000175,146.47999999999593,2501.32388,94270.81,93976.42,294.3899999999994,391.63500000000647,344.71000000000953,,1.6543253221194851,0.5269242342825519,5.491502192982599,2.597220464268534,0.7452345391489261,True,False,95758.04,93929.41,1.8958159929905773,0.36214815593500704,True,False,95758.04,93655.0,1.8958159929905773,0.653235078811774,True,True,95758.04,92800.01,1.8958159929905773,1.560186021526709,True,True,95758.04,92800.01,1.8958159929905773,1.560186021526709,True,True,95758.04,92800.01,1.8958159929905773,1.560186021526709,True,True,97424.02,92800.01,3.6685798416241076,1.560186021526709
bullish,245,2025-04-25 21:00:00,94417.29,94688.88,93929.41,94400.01,17.279999999998836,759.4700000000012,271.59000000001106,470.59999999999127,1246.62972,94400.01,95758.04,94391.3,95368.0,967.9900000000052,1366.7399999999907,390.0399999999936,8.709999999991851,5315.61891,95368.0,95683.31,94804.82,95061.22,306.77999999999884,878.4899999999907,315.3099999999977,256.3999999999942,1808.96782,94804.82,94688.88,115.94000000000233,330.60500000000326,437.7050000000109,,3.263991805040554,-0.659688203645133,56.017939814818895,1.7995970874425435,0.1526590912083455,False,True,95554.99,93870.69,0.9146902994311481,0.9853191008642858,False,True,95554.99,93602.58,0.9146902994311481,1.2681211778051003,False,True,95630.0,92800.01,0.9939076267456066,2.114670962932066,False,True,95630.0,92800.01,0.9939076267456066,2.114670962932066,False,True,95630.0,92800.01,0.9939076267456066,2.114670962932066,True,True,97895.68,92800.01,3.3866701137451285,2.114670962932066
bearish,280,2025-04-27 08:00:00,94628.0,95001.58,94576.74,94870.01,242.00999999999476,424.8399999999965,131.57000000000698,51.25999999999476,728.73565,94870.01,95369.0,94041.6,94117.6,752.4099999999889,1327.3999999999942,498.99000000000524,76.0,2400.13887,94117.6,94469.5,94050.15,94345.86,228.25999999999476,419.3500000000058,123.63999999999942,67.45000000001164,367.15753,94576.74,94469.5,107.24000000000524,-262.07499999998333,,-266.03999999999087,2.2935658767345886,-0.8470265472597426,3.109003760175221,3.1244703888522856,0.2524244421429388,False,True,94545.45,92800.01,1.7672264593334412,-0.033084244603914396,True,True,95630.0,92800.01,1.7672264593334412,1.113656486785223,True,True,95630.0,92800.01,1.7672264593334412,1.113656486785223,True,True,95630.0,92800.01,1.7672264593334412,1.113656486785223,True,True,97424.02,92800.01,1.7672264593334412,3.0105499512882328,True,True,97895.68,92800.01,1.7672264593334412,3.5092560813578344
bearish,301,2025-04-28 05:00:00,94260.87,94545.45,94160.49,94328.29,67.41999999999825,384.95999999999185,217.1600000000035,100.3799999999901,242.97815,94328.3,94335.84,93641.7,93939.57,388.7299999999959,694.1399999999994,7.539999999993597,297.8700000000099,563.30862,93939.57,93939.57,93660.0,93749.3,190.27000000000407,279.570000000007,0.0,89.30000000000291,287.74927,94160.49,93939.57,220.91999999999825,-289.495,,-302.9399999999976,1.3183509299087182,-0.4891800697102771,5.765796499555117,1.8031483790524057,0.5738778054862919,True,True,95630.0,92800.01,1.2130777264575643,1.560643960115325,True,True,95630.0,92800.01,1.2130777264575643,1.560643960115325,True,True,95630.0,92800.01,1.2130777264575643,1.560643960115325,True,True,97424.02,92800.01,1.2130777264575643,3.465922915226969,True,True,97895.68,92800.01,1.2130777264575643,3.9668336475309207,True,True,97895.68,92800.01,1.2130777264575643,3.9668336475309207
bearish,316,2025-04-28 20:00:00,95319.99,95630.0,95056.0,95350.69,30.69999999999709,574.0,279.3099999999977,263.99000000000524,2035.1513,95350.69,95518.5,93926.81,93965.7,1384.9900000000052,1591.6900000000023,167.80999999999767,38.88999999999942,2653.72474,93965.7,94900.0,93850.0,94417.73,452.02999999999884,1050.0,482.2700000000041,115.69999999999709,1173.25656,95056.0,94900.0,156.0,-466.4799999999963,,-364.9999999999918,0.3039446944313183,-0.5578830983050639,45.11368078176341,2.772979094076659,0.27177700348432055,False,True,95461.53,93444.0,1.5342465753424657,0.4266222016495527,False,True,95461.53,93026.0,1.9747102212855638,0.4266222016495527,True,True,96734.89,92910.0,2.096944151738672,1.7662114963810802,True,True,97424.02,92910.0,2.096944151738672,2.491184144083492,True,True,97895.68,92910.0,2.096944151738672,2.9873758626493783,True,True,97895.68,92910.0,2.096944151738672,2.9873758626493783
bullish,333,2025-04-29 13:00:00,94353.32,94417.97,94200.0,94276.49,76.83000000000175,217.97000000000116,64.64999999999418,76.49000000000524,1647.45956,94276.49,94811.29,94258.41,94780.0,503.50999999999476,552.8799999999901,31.289999999993597,18.080000000001746,377.80111,94780.01,94960.0,94704.81,94917.61,137.60000000000582,255.19000000000233,42.38999999999942,75.19999999999709,361.94456,94704.81,94417.97,286.8399999999965,320.56000000000483,252.40500000000873,,-0.7706765500210517,-0.04197062840815891,6.553559807366697,2.5364958480524256,1.3159609120520943,True,True,95459.99,93742.54,1.1036246595854624,1.0160729956588308,True,True,95459.99,92910.0,1.1036246595854624,1.8951624526779554,True,True,97424.02,92910.0,3.1837689372054943,1.8951624526779554,True,True,97895.68,92910.0,3.683313674293137,1.8951624526779554,True,True,97895.68,92910.0,3.683313674293137,1.8951624526779554,True,True,97895.68,92910.0,3.683313674293137,1.8951624526779554
bearish,363,2025-04-30 19:00:00,94946.52,95228.45,94928.44,95176.66,230.13999999999942,300.00999999999476,51.7899999999936,18.080000000001746,619.85078,95176.66,95214.9,94349.29,94555.88,620.7799999999988,865.6100000000006,38.23999999999069,206.59000000001106,1664.41996,94555.89,94649.5,93026.0,93032.58,1523.3099999999977,1623.5,93.61000000000058,6.580000000001746,2712.01725,94928.44,94649.5,278.9400000000023,-1072.0399999999831,,-289.4749999999903,1.685194588284619,0.629406829511946,2.6974015816459564,2.8852704909836864,0.9297690076997673,True,True,96463.18,92910.0,1.837833269061115,1.6167336153422418,True,True,97424.02,92910.0,1.837833269061115,2.6289065742574107,True,True,97895.68,92910.0,1.837833269061115,3.1257650499681557,True,True,97895.68,92910.0,1.837833269061115,3.1257650499681557,True,True,97895.68,92910.0,1.837833269061115,3.1257650499681557,True,True,97895.68,92910.0,1.837833269061115,3.1257650499681557
bearish,439,2025-05-03 23:00:00,96380.96,96509.44,96325.65,96418.68,37.71999999998661,183.79000000000815,90.76000000000931,55.310000000012224,188.69143,96418.68,96428.33,96080.59,96215.41,203.26999999998952,347.74000000000524,9.650000000008731,134.82000000000698,306.55723,96215.4,96215.4,95869.68,96191.56,23.839999999996508,345.72000000000116,0.0,321.88000000000466,350.19773,96325.65,96215.4,110.25,-113.5599999999919,,-147.019999999986,0.6246484008309228,0.14235677951552464,5.3889183457068315,1.8920507100494577,0.5998694161814849,False,True,96441.49,95209.07,1.0459136479191349,0.12025872651781853,False,True,96441.49,93514.1,2.8075547157731386,0.12025872651781853,False,True,96441.49,93377.0,2.9500474975939346,0.12025872651781853,True,True,97732.0,93377.0,2.9500474975939346,1.4599953387285793,True,True,101525.03,93377.0,2.9500474975939346,5.397710786275519,True,True,104361.3,93377.0,2.9500474975939346,8.342170543359956
